Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (mks)
0,Cheyenne,-104.82025,41.13998,1,Salt Lake,-111.89105,40.76078,5512.21,26458.59
1,Salt Lake,-111.89105,40.76078,8,Burbank,-118.30897,34.18084,2065.80,9915.84
1,Salt Lake,-111.89105,40.76078,6,Spokane,-117.42605,47.65878,6004.08,28819.57
1,Salt Lake,-111.89105,40.76078,29,Boise,-116.20345,43.6135,7842.78,37645.33
1,Salt Lake,-111.89105,40.76078,28,Sunnyvale,-122.03635,37.36883,5220.19,25056.90
1,Salt Lake,-111.89105,40.76078,31,Billings,-108.50069,45.78329,10919.84,52415.21
2,Denver,-104.9847,39.73915,21,Phoenix,-112.07404,33.44838,2255.45,10826.17
2,Denver,-104.9847,39.73915,27,Kansas,-94.62746,39.11417,2517.95,12086.17
2,Denver,-104.9847,39.73915,28,Sunnyvale,-122.03635,37.36883,11244.51,53973.64
4,Portland,-122.67621,45.52345,8,Burbank,-118.30897,34.18084,7544.82,36215.11
4,Portland,-122.67621,45.52345,5,Eugene,-123.08675,44.05207,9389.89,45071.47
6,Spokane,-117.42605,47.65878,7,Seattle,-122.33207,47.60621,7502.79,36013.37
7,Seattle,-122.33207,47.60621,15,Tukwita,-122.26096,47.47399,938.55,4505.06
7,Seattle,-122.33207,47.60621,30,Helena,-112.03611,46.59271,15191.47,72919.07
8,Burbank,-118.30897,34.18084,9,Los Angeles,-118.24368,34.05223,901.41,4326.77
8,Burbank,-118.30897,34.18084,21,Phoenix,-112.07404,33.44838,4671.09,22421.25
10,Newark,-74.17237,40.73566,11,New York,-74.00597,40.71427,1061.79,5096.57
10,Newark,-74.17237,40.73566,12,Boston,-71.05977,42.35843,11014.75,52870.81
10,Newark,-74.17237,40.73566,17,Chicago,-87.65005,41.85003,8491.80,40760.64
11,New York,-74.00597,40.71427,16,Washington,-77.03637,38.89511,6830.47,32786.26
13,Eckington,-77.00914,38.91261,16,Washington,-77.03637,38.89511,127.61,612.52
13,Eckington,-77.00914,38.91261,23,Atlanta,-84.38798,33.749,6165.96,29596.60
13,Eckington,-77.00914,38.91261,24,Tampa,-82.45843,27.94752,9509.04,45643.39
13,Eckington,-77.00914,38.91261,27,Kansas,-94.62746,39.11417,2150.40,10321.93
13,Eckington,-77.00914,38.91261,28,Sunnyvale,-122.03635,37.36883,10887.97,52262.25
17,Chicago,-87.65005,41.85003,22,Cermak,-87.65005,41.85003,0.00,0.00
17,Chicago,-87.65005,41.85003,28,Sunnyvale,-122.03635,37.36883,4400.36,21121.73
18,Dallas,-96.80667,32.78306,27,Kansas,-94.62746,39.11417,2032.37,9755.37
18,Dallas,-96.80667,32.78306,20,Tucson,-110.92648,32.22174,4987.45,23939.77
18,Dallas,-96.80667,32.78306,25,Houston,-95.36327,29.76328,18680.96,89668.62
19,Albuquerque,-106.65114,35.08449,20,Tucson,-110.92648,32.22174,10706.22,51389.85
25,Houston,-95.36327,29.76328,28,Sunnyvale,-122.03635,37.36883,7926.48,38047.10
27,Kansas,-94.62746,39.11417,33,Minneapolis,-93.26384,44.97997,3566.70,17120.15
30,Helena,-112.03611,46.59271,31,Billings,-108.50069,45.78329,7989.26,38348.46
32,Fargo,-96.7898,46.87719,33,Minneapolis,-93.26384,44.97997,5132.66,24636.78
32,Fargo,-96.7898,46.87719,34,Sioux City,-96.40031,42.49999,12099.78,58078.95
34,Sioux City,-96.40031,42.49999,35,Omaha,-95.93779,41.25861,7851.61,37687.70
